city,timestamp,temperature,season
New York,2010-01-01,-0.843993560384253,winter
New York,2010-01-02,4.005086003530682,winter
New York,2010-01-03,2.9383308544558293,winter
New York,2010-01-04,4.227275651549301,winter
New York,2010-01-05,0.7902567770307461,winter
New York,2010-01-06,-15.382064461441216,winter
New York,2010-01-07,4.559142474982573,winter
New York,2010-01-08,-1.4579579384074446,winter
New York,2010-01-09,-0.7649168176727175,winter
New York,2010-01-10,3.1261107773817027,winter
New York,2010-01-11,0.0735876603940657,winter
New York,2010-01-12,-5.586216214532206,winter
New York,2010-01-13,4.264165180715701,winter
New York,2010-01-14,-9.122818588563037,winter
New York,2010-01-15,-3.6596402259984244,winter
New York,2010-01-16,-9.846633808653747,winter
New York,2010-01-17,8.819018721578658,winter
New York,2010-01-18,4.3053929178963655,winter
New York,2010-01-19,-0.0015519450621146924,winter
New York,2010-01-20,4.457348316381513,winter
New York,2010-01-21,8.36119473747049,winter
New York,2010-01-22,3.0521372257027397,winter
New York,2010-01-23,1.9910901495526176,winter
New York,2010-01-24,-0.45203841948411144,winter
New York,2010-01-25,-2.9531587151593506,winter
New York,2010-01-26,8.174080280814485,winter
New York,2010-01-27,2.9724889559086174,winter
New York,2010-01-28,-3.2688296042593166,winter
New York,2010-01-29,0.0067870003876267055,winter
New York,2010-01-30,4.383017681545489,winter
New York,2010-01-31,-1.4736488532618246,winter
New York,2010-02-01,-0.6084559697181803,winter
New York,2010-02-02,-2.733186570148935,winter
New York,2010-02-03,1.0148176023246966,winter
New York,2010-02-04,7.019781803401356,winter
New York,2010-02-05,-5.29482838900082,winter
New York,2010-02-06,-4.107608163549012,winter
New York,2010-02-07,5.50554912605027,winter
New York,2010-02-08,-4.231199674475424,winter
New York,2010-02-09,-1.896358003784325,winter
New York,2010-02-10,4.191897666044166,winter
New York,2010-02-11,-0.13214569314807045,winter
New York,2010-02-12,1.2429054156863708,winter
New York,2010-02-13,5.001198823180318,winter
New York,2010-02-14,8.598572040830472,winter
New York,2010-02-15,-1.438476935717988,winter
New York,2010-02-16,0.4783925444610163,winter
New York,2010-02-17,1.364492228311363,winter
New York,2010-02-18,-5.654020322658335,winter
New York,2010-02-19,-4.510634642953934,winter
New York,2010-02-20,-5.031346797036652,winter
New York,2010-02-21,-10.853214796390523,winter
New York,2010-02-22,1.7358595097014649,winter
New York,2010-02-23,0.5880877313721915,winter
New York,2010-02-24,6.292822938332896,winter
New York,2010-02-25,7.474493762029032,winter
